Symbol,Lambda,Cluster,Close,Change,Volume,Market Cap,EPS,Beta (1Y),Sector,Name,image_url
NASDAQ:ON,0.6938958399168185,1,41.27,-2.4119177110427903,9857318,17246128398.0,1.4681,1.7531635,Electronic Technology,ON Semiconductor Corporation,https://logo.clearbit.com/on.com
NASDAQ:DGII,0.6938958570829682,1,32.16,-0.6487488415199285,173495,1192065065.9999998,1.151,1.2616867,Electronic Technology,Digi International Inc.,https://logo.clearbit.com/dgii.com
NASDAQ:PLAB,0.693895830772693,1,19.47,-1.91435768261966,380732,1237546457.0,2.3808,1.5224257,Electronic Technology,"Photronics, Inc.",https://financialmodelingprep.com/image-stock/PLAB.png
NASDAQ:SWBI,0.6938965210353167,1,9.4,-0.634249471458779,289727,413625407.0,0.6574,0.45893624,Electronic Technology,"Smith & Wesson Brands, Inc.",https://logo.clearbit.com/swbi.com
NASDAQ:OPXS,0.6938887188274815,1,8.29,1.0975609756097544,18816,57308099.0,0.7141,0.9937162,Electronic Technology,"Optex Systems Holdings, Inc.",https://financialmodelingprep.com/image-stock/OPXS.png
NASDAQ:IMMR,0.6938813063379704,1,7.28,-1.488497970230033,204253,235846024.0,2.6599,1.1009452,Electronic Technology,Immersion Corporation,https://financialmodelingprep.com/image-stock/IMMR.png
NASDAQ:STX,0.6938738680914389,1,112.74,3.564210913099389,5981623,23925396918.0,7.077,1.9094441,Electronic Technology,Seagate Technology Holdings PLC,https://logo.clearbit.com/stx.com
NASDAQ:SMCI,0.6938682250145809,1,40.09,-2.976766698935133,37900688,23926418756.000004,2.0446,3.573023,Electronic Technology,"Super Micro Computer, Inc.",https://logo.clearbit.com/smci.com
NASDAQ:BELFA,0.6938616315032475,1,64.43,-1.6335877862595316,4442,901105278.0,2.9945,1.3839709,Electronic Technology,Bel Fuse Inc.,https://financialmodelingprep.com/image-stock/BELFA.png
NASDAQ:FEIM,0.6938558278552067,1,19.07,-1.650335224342446,188247,184531095.0,2.4072,0.4333083,Electronic Technology,"Frequency Electronics, Inc.",https://logo.clearbit.com/feim.com
NASDAQ:BELFB,0.6938504990582005,1,72.48,-0.0689369915896831,46842,901105278.0,3.4968,1.610232,Electronic Technology,Bel Fuse Inc.,https://financialmodelingprep.com/image-stock/BELFB.png
NASDAQ:CGNX,0.6938455696374334,1,29.72,-0.5687520910003402,2310435,4988941046.0,0.6885,1.2968991,Electronic Technology,Cognex Corporation,https://logo.clearbit.com/cgnx.com
NASDAQ:KE,0.6938409342501899,1,17.5,-0.7936507936507969,172620,426656895.00000006,0.7188,1.146919,Electronic Technology,"Kimball Electronics, Inc.",https://logo.clearbit.com/ke.com
NASDAQ:ISSC,0.6938356347980951,1,10.45,4.395604395604391,136271,183963412.0,0.6171,1.6238425,Electronic Technology,"Innovative Solutions and Support, Inc.",https://logo.clearbit.com/issc.com
NASDAQ:CAMT,0.6938324674778724,1,64.99,-0.0153846153846232,287457,2963184571.0,2.8094,1.940475,Electronic Technology,Camtek Ltd.,https://logo.clearbit.com/camt.com
NASDAQ:TRNS,0.693828852625488,1,91.32,-0.3383171450398366,70643,850140813.9999999,1.584,0.8664828,Electronic Technology,"Transcat, Inc.",https://financialmodelingprep.com/image-stock/TRNS.png
NASDAQ:NXT,0.6938251420399546,1,56.05,0.0,1882488,8198094946.999999,3.5453,1.2476546,Electronic Technology,Nextracker Inc.,https://financialmodelingprep.com/image-stock/NXT.png
NASDAQ:AMKR,0.6938217072234631,1,18.27,-2.35168359166222,1474290,4513718247.0,1.2829,2.0213015,Electronic Technology,"Amkor Technology, Inc.",https://financialmodelingprep.com/image-stock/AMKR.png
NASDAQ:ITRI,0.6938185114517003,1,112.63,0.3206555624832987,363493,5134584189.0,5.5875,0.9418562,Electronic Technology,"Itron, Inc.",https://logo.clearbit.com/itri.com
