Symbol,Lambda,Cluster,Close,Change,Volume,Market Cap,EPS,Beta (1Y),Sector,Name,image_url,Trend
STX,0.6938738680914389,1,112.74,3.564210913099389,5981623,23925396918.0,7.077,1.9094441,Electronic Technology,Seagate Technology Holdings PLC,https://logo.clearbit.com/stx.com,Tăng
ISSC,0.6938356347980951,1,10.45,4.395604395604391,136271,183963412.0,0.6171,1.6238425,Electronic Technology,"Innovative Solutions and Support, Inc.",https://logo.clearbit.com/issc.com,Tăng
ENPH,0.6938085192432549,1,39.64,4.302065517695035,10168324,5201046034.000001,1.108,0.33049828,Electronic Technology,"Enphase Energy, Inc.",https://financialmodelingprep.com/image-stock/ENPH.png,Giảm hoặc Sideway
FTAIM,0.6937792635177069,1,26.115,2.0515826494724445,8320,11750864017.0,0.2253,0.044732645,Electronic Technology,FTAI Aviation Ltd. - 9.500% Fixed-Rate Reset Series D Cumulative Perpetual Redeemable Preferred Shares,https://financialmodelingprep.com/image-stock/FTAIM.png,Tăng
CODA,0.6937626883923524,1,7.25,3.853316143818939,22749,81419301.0,0.3514,0.50330997,Electronic Technology,"Coda Octopus Group, Inc.",https://logo.clearbit.com/coda.com,Tăng
ELSE,0.6937467687862381,1,4.07,3.0379746835443067,36294,14037516.0,0.1081,-0.07703845,Electronic Technology,"Electro-Sensors, Inc.",https://financialmodelingprep.com/image-stock/ELSE.png,Tăng
HOVR,0.6937270795220513,1,0.922,8.957693216733643,1956091,28937105.0,0.3112,0.77993035,Electronic Technology,New Horizon Aircraft Ltd.,https://financialmodelingprep.com/image-stock/HOVR.png,Tăng
KTOS,0.6937173258344538,1,36.01,2.301136363636349,2389570,5525494564.0,0.1277,1.345305,Electronic Technology,"Kratos Defense & Security Solutions, Inc.",https://financialmodelingprep.com/image-stock/KTOS.png,Tăng
SIEB,0.693472266084451,1,4.54,6.323185011709613,161241,183461121.0,0.4556,0.75060815,Finance,Siebert Financial Corp.,https://logo.clearbit.com/sieb.com,Giảm hoặc Sideway
GSRT,0.6926612652021586,1,10.6,2.9126213592232904,5728509,248278500.0,0.0724,0.02071225,Finance,GSR III Acquisition Corp.,https://financialmodelingprep.com/image-stock/GSRT.png,Giảm hoặc Sideway
HOND,0.6926382979294168,1,11.75,7.404021937842783,4761482,270250000.0,0.1426,-0.038661756,Finance,HCM II Acquisition Corp.,https://financialmodelingprep.com/image-stock/HOND.png,Giảm hoặc Sideway
KINS,0.6935782502696182,1,16.93,8.31733845169545,520301,237118138.0,1.7455,0.6027979,Finance,"Kingstone Companies, Inc",https://logo.clearbit.com/kins.com,Giảm hoặc Sideway
ISRL,0.6946864965774903,1,12.89,2.342199285430726,18177,81878558.0,0.1416,0.096402384,Finance,Israel Acquisitions Corp,https://financialmodelingprep.com/image-stock/ISRL.png,Giảm hoặc Sideway
AUBN,0.6955229242957008,1,20.95,4.802401200600305,1484,73192998.00000001,1.8765,-0.06909547,Finance,"Auburn National Bancorporation, Inc.",https://financialmodelingprep.com/image-stock/AUBN.png,Tăng
GLBZ,0.2717205950949168,0,5.24,4.800000000000004,461,15199568.0,0.0132,0.082843155,Finance,Glen Burnie Bancorp,https://financialmodelingprep.com/image-stock/GLBZ.png,Giảm hoặc Sideway
SBRA,0.2745011582783754,0,17.44,2.047981275599774,2710402,4149611765.0,0.5974,0.12671913,Finance,"Sabra Health Care REIT, Inc.",https://financialmodelingprep.com/image-stock/SBRA.png,Tăng
