Symbol,Name,Exchange,Sector,Close,Change,Volume,Market Cap,EPS,P/E Ratio,Beta (1Y),Time
NASDAQ:MSFT,Microsoft Corporation,NASDAQ,Technology Services,450.18,-1.0288880094974293,16883509,3345982578863.0,12.9995,34.7881860191954,1.0244746,2025-05-26 12:34:05
NASDAQ:NVDA,NVIDIA Corporation,NASDAQ,Electronic Technology,131.29,-1.1593766468418432,198821324,3201842404039.0,2.9689,44.664058513352614,2.3596532,2025-05-26 12:34:05
NASDAQ:AAPL,Apple Inc.,NASDAQ,Electronic Technology,195.27,-3.024433849821217,78432918,2916518840395.0,6.4358,30.47332199316469,1.0798686,2025-05-26 12:34:05
NASDAQ:AMZN,"Amazon.com, Inc.",NASDAQ,Retail Trade,200.99,-1.0388970950270728,33393545,2133780558863.9998,6.2615,32.78097630192618,1.3520802,2025-05-26 12:34:05
NASDAQ:GOOGL,Alphabet Inc.,NASDAQ,Technology Services,168.47,-1.4045765786855537,35211439,2050497518158.0,9.0588,18.787148863091456,0.92776155,2025-05-26 12:34:05
NASDAQ:GOOG,Alphabet Inc.,NASDAQ,Technology Services,169.59,-1.3896964763344497,24963648,2050497518158.0,9.0588,18.91204710447961,0.9140532,2025-05-26 12:34:05
NASDAQ:META,"Meta Platforms, Inc.",NASDAQ,Technology Services,627.06,-1.4939441066968446,8454067,1576521606898.9998,26.3431,24.45937090432503,1.3681751,2025-05-26 12:34:05
NASDAQ:TSLA,"Tesla, Inc.",NASDAQ,Consumer Durables,339.34,-0.4984752521698468,84654818,1091492897488.0001,1.9881,186.61460624725032,2.0215144,2025-05-26 12:34:05
NASDAQ:AVGO,Broadcom Inc.,NASDAQ,Electronic Technology,228.72,-0.7851472693358792,15385632,1075429719372.0,2.1503,110.31688612357111,2.514157,2025-05-26 12:34:05
NASDAQ:NFLX,"Netflix, Inc.",NASDAQ,Technology Services,1185.39,-0.2171772014444748,2186483,504467956576.00006,21.6403,56.01396816996182,1.2522078,2025-05-26 12:34:05
NASDAQ:COST,Costco Wholesale Corporation,NASDAQ,Retail Trade,1008.5,-0.9458517085244512,1413916,447454658081.0,17.1655,58.87469643190734,0.5854005,2025-05-26 12:34:05
NASDAQ:PLTR,Palantir Technologies Inc.,NASDAQ,Technology Services,123.31,0.8340829176547517,65905836,291001020406.0,0.2493,538.471615720524,2.4931664,2025-05-26 12:34:05
NASDAQ:ASML,ASML Holding N.V. - New York Registry Shares,NASDAQ,Electronic Technology,732.49,-1.108410962602948,1525225,283009983171.3607,23.7445,30.872231471139862,1.3658419,2025-05-26 12:34:05
NASDAQ:TMUS,"T-Mobile US, Inc.",NASDAQ,Communications,242.88,0.855410680176066,4174024,275776903747.0,10.2921,23.67366830742239,0.44511276,2025-05-26 12:34:05
NASDAQ:CSCO,"Cisco Systems, Inc.",NASDAQ,Electronic Technology,63.11,-0.39457070707070707,15645591,249915494563.0,2.4546,25.864754098360656,0.994423,2025-05-26 12:34:05
NASDAQ:AZN,AstraZeneca PLC,NASDAQ,Health Technology,70.41,0.6576125804145728,3958322,219013467781.41357,2.5071,28.286196368311103,0.21865769,2025-05-26 12:34:05
NASDAQ:LIN,Linde plc,NASDAQ,Process Industries,458.9,-0.021786492374732624,1627136,216015450347.0,13.8695,33.3021284624707,0.40033475,2025-05-26 12:34:05
NASDAQ:INTU,Intuit Inc.,NASDAQ,Technology Services,720.13,8.116264056330406,5327730,200878097967.0,12.3857,58.59956058263488,0.5915687,2025-05-26 12:34:05
NASDAQ:ISRG,"Intuitive Surgical, Inc.",NASDAQ,Health Technology,539.54,-0.5767777839202454,1138633,193380971173.0,6.95,79.14160823774459,1.1366452,2025-05-26 12:34:05
NASDAQ:AMD,"Advanced Micro Devices, Inc.",NASDAQ,Electronic Technology,110.31,-0.36130430855387186,30867274,178857104029.99997,1.3743,80.8605776279138,2.1083117,2025-05-26 12:34:05
NASDAQ:PEP,"PepsiCo, Inc.",NASDAQ,Consumer Non-Durables,129.34,-0.5994466646172771,8122494,177335413341.0,6.823,19.01835078226091,0.017852645,2025-05-26 12:34:05
NASDAQ:ADBE,Adobe Inc.,NASDAQ,Technology Services,407.69,-1.6025873096324152,2087674,173757484017.0,15.2551,26.85015048834621,0.9978129,2025-05-26 12:34:05
NASDAQ:BKNG,Booking Holdings Inc. Common Stock,NASDAQ,Consumer Services,5332.8,-0.17053825317161225,152421,173531100712.0,162.7574,33.1792005335749,1.1012427,2025-05-26 12:34:05
